production_order_id,production_order_number,line_number,output_type,output_id,output_code,output_name,production_quantity,factory_id,factory_name,production_line,process_sequence,planned_start_date,planned_finish_date,work_order_status,priority,created_date,status
PO0000007,MO-202305001,100,Product,P0001,UAV-XF-BASIC,旋风基础版整机,1127,FAC001,深圳天翼无人机总装厂,总装线A,100,2023-05-04,2023-05-19,已完工,高,2023-05-04,Active
PO0000014,MO-202305002,100,Product,P0002,UAV-XF-BASIC-PLUS,旋风增强版整机,1179,FAC001,深圳天翼无人机总装厂,总装线A,100,2023-05-09,2023-05-31,已完工,高,2023-05-09,Active
PO0000022,MO-202305003,100,Product,P0003,UAV-XF-PRO-A,巡风摄影版整机,457,FAC001,深圳天翼无人机总装厂,总装线B,100,2023-05-05,2023-06-12,已完工,高,2023-05-05,Active
PO0000030,MO-202305004,100,Product,P0004,UAV-XF-PRO-B,巡风探索版整机,426,FAC001,深圳天翼无人机总装厂,总装线B,100,2023-05-18,2023-06-04,已完工,高,2023-05-18,Active
PO0000038,MO-202305005,100,Product,P0005,UAV-XF-PRO-C,巡风全能版整机,551,FAC001,深圳天翼无人机总装厂,总装线C,100,2023-05-14,2023-05-30,已完工,高,2023-05-14,Active
PO0000047,MO-202305006,100,Product,P0006,UAV-JF-ENT-AG,极风农业版整机,83,FAC001,深圳天翼无人机总装厂,总装线B,100,2023-05-03,2023-05-24,已完工,中,2023-05-03,Active
PO0000055,MO-202305007,100,Product,P0007,UAV-JF-ENT-SV,极风测绘版整机,109,FAC001,深圳天翼无人机总装厂,总装线A,100,2023-05-17,2023-06-20,已完工,中,2023-05-17,Active
PO0000064,MO-202305008,100,Product,P0008,UAV-JF-ENT-SC,极风安防版整机,83,FAC001,深圳天翼无人机总装厂,总装线C,100,2023-05-18,2023-06-08,已完工,中,2023-05-18,Active
PO0000073,MO-202305009,100,Product,P0009,UAV-BF-IND-H20,霸风20L植保无人机,119,FAC001,深圳天翼无人机总装厂,总装线B,100,2023-05-14,2023-06-05,已完工,中,2023-05-14,Active
PO0000084,MO-202305010,200,Product,P0010,UAV-BF-IND-H30,霸风30L植保无人机,107,FAC001,深圳天翼无人机总装厂,总装线C,100,2023-05-19,2023-06-11,已完工,中,2023-05-19,Active
